시간,업비트(KRW),바이낸스($),김프(%),순수익(원),수익률(%),상태
00:53:51,100653000.0,68636.36,1.91,-4609,-0.46,보유중
00:54:52,100710000.0,68646.17,1.95,-4222,-0.42,보유중
00:55:53,100799000.0,68626.99,2.07,-3170,-0.32,보유중
00:56:56,100641000.0,68568.66,1.99,-3837,-0.38,보유중
00:57:02,100514000.0,68568.66,1.865345447989845,-4983,-0.5,종료
