시간,업비트(KRW),바이낸스($),김프(%),순수익(원),수익률(%),상태
00:41:04,101203000.0,68819.34,2.19,397,0.04,보유중
00:42:06,101200000.0,68819.34,2.19,371,0.04,보유중
