Time,Coin,Qty,U.Entry,U.Exit,B.Entry,B.Exit,Fees,Net PNL,ROI
02-14 00:00,BTC,0.009137,99500000,99533000,$67825.87,$67825.87,2692,-2391,-0.24%
02-14 00:17,BTC,0.009132,-4187,-0.42%,log_BTC_20260214_000516.csv
